Mixture Name,Percent U238,Percent U235,Moles O,Percent Zr,Density
0.72 U235 UO2,0.9928,0.0072,2.0000,0.0000,10.9600
1.00 U235 UO2,0.9900,0.0100,2.0000,0.0000,10.9600
5.00 U235 UO2,0.9500,0.0500,2.0000,0.0000,10.9600
10.00 U235 UO2,0.9000,0.1000,2.0000,0.0000,10.9600
15.00 U235 UO2,0.8500,0.1500,2.0000,0.0000,10.9600
19.70 U235 UO2,0.8030,0.1970,2.0000,0.0000,10.9600
0.72 U235 U50Zr,0.4928,0.0072,0.0000,0.5000,9.8400
1.00 U235 U50Zn,0.4900,0.0100,0.0000,0.5000,9.8400
5.00 U235 U50Zn,0.4500,0.0500,0.0000,0.5000,9.8400
10.00 U235 U50Zn,0.4000,0.1000,0.0000,0.5000,9.8400
15.00 U235 U50Zn,0.3500,0.1500,0.0000,0.5000,9.8400
19.70 U235 U50Zn,0.3030,0.1970,0.0000,0.5000,9.8400
